ID zariadenia;Zákazník;Segment;Kraj;Typ zariadenia;Výrobca;Typové označenie;Dátum inštalácie;Záruka do;Prevádzkové hodiny;Menovitý tlak (bar);Prietok (l/min);Príkon (kW);Dátum posledného servisu;Typ posledného zásahu;Teplota oleja (°C);Čistota oleja (ISO 4406);Havarijné zásahy za 24 mes.;Náklady na diely za 24 mes. (EUR);Stav zariadenia
HYT-2027;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Chladiaci okruh oleja;PNEUTECH;PN-AT-44B;21.05.2018;20.05.2021;13353;16;255;11.9;22.10.2025;Havarijná oprava;62;21/19/16;2;1906,85;V prevádzke
HYT-2028;Mliekareň Zvolen s.r.o.;Potravinárstvo;Banskobystrický;Čerpadlová jednotka;AXIOMA;AX-PC-95G;10.06.2023;09.06.2026;4630;280;127;32.4;05.05.2025;Výmena filtračnej vložky;54;17/15/12;0;480,90;V prevádzke
HYT-2029;Hutné centrum Košice s.r.o.;Strojárstvo;Košický;Chladič kvapalín;FLUIDMAX;FL-PP-14G;22.04.2018;21.04.2021;8460;10;148;3.4;26.07.2025;Výmena filtračnej vložky;75;19/17/14;0;643,62;V prevádzke
HYT-2030;Seating Systems a.s.;Automotive;Bratislavský;Hydraulický agregát píly;HYDROMET;HY-GP-69B;06.03.2020;06.03.2023;6112;210;142;40.6;12.09.2026;Lisovanie hadíc na mieste;52;18/16/13;0;287,05;V prevádzke
HYT-2031;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Čerpadlová jednotka;HYDROMET;HY-CH-53C;24.04.2024;23.04.2028;3920;315;175;43.7;16.04.2025;Lisovanie hadíc na mieste;60;17/15/12;0;1300,23;V prevádzke
HYT-2032;Mliekareň Zvolen s.r.o.;Potravinárstvo;Banskobystrický;Hydraulický zdvíhací stôl;AXIOMA;AX-PP-62G;02.04.2015;01.04.2018;26749;160;150;13.5;12.09.2025;Preventívna prehliadka;71;20/18/15;2;1257,29;Na vyradenie
HYT-2033;Pílová Orava s.r.o.;Drevospracujúci;Žilinský;Chladič kvapalín;HYDROMET;HY-FL-59F;04.07.2019;03.07.2022;14111;16;327;28.0;25.02.2025;Havarijná oprava;75;20/18/15;2;1612,04;Obmedzená prevádzka
HYT-2034;Bukoza Plus a.s.;Drevospracujúci;Košický;Hydraulický zdvíhací stôl;iné / neznámy;IN-CH-93D;22.07.2025;21.07.2028;1563;280;155;64.7;11.05.2025;Preventívna prehliadka;76;17/15/12;2;1104,23;V prevádzke
HYT-2035;Hutné centrum Košice s.r.o.;Strojárstvo;Košický;Hydraulický zdvíhací stôl;HYDROMET;HY-AT-55B;18.12.2021;18.12.2023;9243;210;61;13.3;19.08.2026;Havarijná oprava;75;20/18/15;3;2397,46;Odstavené
HYT-2036;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Čerpadlová jednotka;FLUIDMAX;FL-GP-51B;31.12.2024;31.12.2026;3596;280;150;68.8;21.06.2026;Havarijná oprava;39;17/15/12;0;299,61;V prevádzke
HYT-2037;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Chladič kvapalín;FLUIDMAX;FL-NG-37C;13.01.2026;13.01.2028;758;16;191;16.8;13.11.2024;Havarijná oprava;61;18/16/13;0;508,15;V prevádzke
HYT-2038;KOVO Press Slovakia a.s.;Automotive;Trenčiansky;Chladič kvapalín;iné / neznámy;IN-PC-20C;27.09.2016;27.09.2019;16825;10;167;43.7;22.06.2026;Havarijná oprava;84;20/18/15;2;1475,63;V prevádzke
HYT-2039;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Hydraulický zdvíhací stôl;HYDROMET;HY-FL-68C;15.08.2023;14.08.2025;3899;280;73;67.9;13.12.2024;Výmena filtračnej vložky;56;18/16/13;0;287,46;V prevádzke
HYT-2040;Hydinárne Východ a.s.;Potravinárstvo;Prešovský;Pneumatický ovládací panel;iné / neznámy;IN-NG-54E;17.10.2023;16.10.2025;5474;8;1133;9.2;06.11.2024;Diagnostika a meranie;;nemerané;1;1053,86;V prevádzke
HYT-2041;Metalform Považie a.s.;Strojárstvo;Trenčiansky;Chladič kvapalín;iné / neznámy;IN-FL-12B;05.01.2020;04.01.2023;6490;16;81;6.0;12.02.2025;Lisovanie hadíc na mieste;54;19/17/14;0;776,46;V prevádzke
HYT-2042;Mliekareň Zvolen s.r.o.;Potravinárstvo;Banskobystrický;Čerpadlová jednotka;FLUIDMAX;FL-NG-98B;01.06.2017;01.06.2019;11068;250;29;73.0;16.10.2025;Výmena filtračnej vložky;55;18/16/13;0;213,82;V prevádzke
HYT-2043;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Chladiaci okruh oleja;AXIOMA;AX-NG-14E;12.03.2019;11.03.2022;7331;6;364;10.7;30.03.2025;Preventívna prehliadka;59;17/15/12;1;1081,07;Odstavené
HYT-2044;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Čerpadlová jednotka;FLUIDMAX;FL-PC-23G;01.03.2019;28.02.2022;16719;315;31;29.1;13.02.2026;Diagnostika a meranie;55;18/16/13;0;0,00;V prevádzke
HYT-2045;Strojáreň Martin a.s.;Strojárstvo;Žilinský;Rozvod stlačeného vzduchu;iné / neznámy;IN-NG-80F;21.09.2020;21.09.2022;5947;7;1274;7.0;17.08.2026;Preventívna prehliadka;;nemerané;0;794,32;V prevádzke
HYT-2046;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Generátor dusíka;iné / neznámy;IN-NG-43A;24.09.2015;23.09.2019;21729;8;6;26.0;22.06.2026;Preventívna prehliadka;;nemerané;0;1540,45;V prevádzke
HYT-2047;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Chladič kvapalín;FLUIDMAX;FL-GP-31B;12.11.2020;12.11.2023;13499;16;240;12.6;03.03.2025;Preventívna prehliadka;73;17/15/12;0;465,16;V prevádzke
HYT-2048;KOVO Press Slovakia a.s.;Automotive;Trenčiansky;Chladič kvapalín;FLUIDMAX;FL-AT-51B;23.08.2018;22.08.2021;11140;16;395;10.1;20.02.2025;Výmena filtračnej vložky;67;20/18/15;2;1870,28;V prevádzke
HYT-2049;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Chladič kvapalín;FLUIDMAX;FL-PP-58B;03.03.2026;02.03.2029;610;16;314;29.4;26.01.2025;Preventívna prehliadka;67;17/15/12;0;318,21;V prevádzke
HYT-2050;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Hydraulický zdvíhací stôl;HYDROMET;HY-NG-24A;05.03.2022;04.03.2025;9923;160;32;28.3;29.05.2025;Výmena filtračnej vložky;58;21/19/16;1;1584,23;Obmedzená prevádzka
HYT-2051;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Hydraulický agregát lisu;AXIOMA;AX-PC-18G;24.03.2019;23.03.2021;11985;250;30;35.5;30.01.2025;Havarijná oprava;65;17/15/12;2;1628,69;V prevádzke
HYT-2052;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Filtračná stanica;FLUIDMAX;FL-GP-98F;30.03.2016;30.03.2019;13935;25;398;3.7;23.08.2026;Preventívna prehliadka;81;20/18/15;3;1978,62;Na vyradenie
HYT-2053;Mliekareň Zvolen s.r.o.;Potravinárstvo;Banskobystrický;Čerpadlová jednotka;HYDROMET;HY-FL-48A;18.01.2021;18.01.2024;6374;250;162;32.0;28.12.2025;Havarijná oprava;47;18/16/13;3;2002,51;V prevádzke
HYT-2054;Recykling SK s.r.o.;Ostatné;Košický;Hydraulický zdvíhací stôl;PNEUTECH;PN-GP-98F;20.06.2019;19.06.2021;17049;315;57;35.6;17.08.2026;Výmena filtračnej vložky;65;19/17/14;1;482,53;V prevádzke
HYT-2055;Hutné centrum Košice s.r.o.;Strojárstvo;Košický;Chladič kvapalín;FLUIDMAX;FL-PC-13A;08.11.2014;07.11.2017;27525;10;259;25.1;16.09.2025;Výmena filtračnej vložky;57;21/19/16;2;2236,20;V prevádzke
HYT-2056;Seating Systems a.s.;Automotive;Bratislavský;Chladiaci okruh oleja;FLUIDMAX;FL-NG-40C;17.05.2017;16.05.2020;24333;6;282;24.5;12.08.2025;Preventívna prehliadka;71;21/19/16;2;783,64;V prevádzke
HYT-2057;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Hydraulický agregát lisu;FLUIDMAX;FL-PP-54B;18.09.2024;18.09.2027;4109;280;130;11.1;14.05.2025;Havarijná oprava;66;20/18/15;0;0,42;V prevádzke
HYT-2058;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Pneumatický ovládací panel;AXIOMA;AX-CH-22A;21.12.2023;20.12.2027;6259;10;1743;20.9;28.06.2025;Havarijná oprava;;nemerané;0;983,14;V prevádzke
HYT-2059;Strojáreň Martin a.s.;Strojárstvo;Žilinský;Čerpadlová jednotka;FLUIDMAX;FL-CH-19D;30.08.2024;30.08.2027;4405;315;88;34.1;13.11.2025;Preventívna prehliadka;52;17/15/12;1;1254,61;V prevádzke
HYT-2060;Vodohospodár Západ a.s.;Energetika;Bratislavský;Hydraulický agregát píly;AXIOMA;AX-NG-47D;11.04.2020;11.04.2023;10522;315;173;26.1;20.08.2026;Diagnostika a meranie;61;20/18/15;0;777,56;V prevádzke
HYT-2061;Recykling SK s.r.o.;Ostatné;Košický;Filtračná stanica;FLUIDMAX;FL-PP-94C;18.04.2016;18.04.2018;15766;25;238;7.2;16.01.2025;Diagnostika a meranie;82;nemerané;1;799,15;Odstavené
HYT-2062;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Rozvod stlačeného vzduchu;AXIOMA;AX-PC-71A;06.10.2017;06.10.2019;22991;10;1747;15.4;22.09.2025;Preventívna prehliadka;;nemerané;0;0,00;V prevádzke
HYT-2063;Hydinárne Východ a.s.;Potravinárstvo;Prešovský;Rozvod stlačeného vzduchu;AXIOMA;AX-PC-89E;07.09.2025;06.09.2028;1936;6;437;17.3;03.01.2026;Havarijná oprava;;nemerané;2;1891,04;V prevádzke
HYT-2064;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Hydraulický agregát píly;HYDROMET;HY-PP-27D;25.12.2024;25.12.2027;1970;280;83;12.3;28.01.2025;Výmena filtračnej vložky;63;nemerané;1;864,06;V prevádzke
HYT-2065;Hutné centrum Košice s.r.o.;Strojárstvo;Košický;Hydraulický agregát lisu;HYDROMET;HY-FL-62G;07.10.2019;06.10.2022;17236;315;137;17.5;23.03.2025;Preventívna prehliadka;78;18/16/13;0;273,88;V prevádzke
HYT-2066;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Pneumatický ovládací panel;AXIOMA;AX-CH-13A;28.11.2022;27.11.2024;5334;6;463;10.3;05.04.2025;Uvedenie do prevádzky;;nemerané;1;1088,18;V prevádzke
HYT-2067;Mobis Parts SK s.r.o.;Automotive;Žilinský;Pneumatický ovládací panel;FLUIDMAX;FL-FL-19F;21.02.2018;20.02.2021;21899;6;951;13.3;08.03.2026;Havarijná oprava;;nemerané;1;1456,29;V prevádzke
HYT-2068;Seating Systems a.s.;Automotive;Bratislavský;Pneumatický ovládací panel;AXIOMA;AX-AT-86B;12.02.2023;11.02.2025;4194;8;1599;4.0;17.09.2025;Preventívna prehliadka;;nemerané;1;1082,59;V prevádzke
HYT-2069;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Filtračná stanica;HYDROMET;HY-AT-63A;05.02.2025;04.02.2029;2454;10;221;4.1;10.06.2026;Preventívna prehliadka;63;nemerané;0;757,10;V prevádzke
HYT-2070;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Generátor dusíka;FLUIDMAX;FL-CH-22C;08.04.2023;07.04.2025;8616;10;12;8.3;05.11.2025;Preventívna prehliadka;;nemerané;0;1254,06;V prevádzke
HYT-2071;Zvárané konštrukcie SK s.r.o.;Strojárstvo;Trnavský;Chladič kvapalín;PNEUTECH;PN-FL-91E;15.09.2018;14.09.2022;17439;6;81;18.0;11.07.2025;Preventívna prehliadka;72;22/20/17;3;2497,94;Obmedzená prevádzka
HYT-2072;Hydinárne Východ a.s.;Potravinárstvo;Prešovský;Rozvod stlačeného vzduchu;AXIOMA;AX-CH-25B;22.05.2024;22.05.2026;3862;6;1516;13.8;06.08.2025;Preventívna prehliadka;;19/17/14;0;1100,66;Odstavené
HYT-2073;Strojáreň Martin a.s.;Strojárstvo;Žilinský;Chladiaci okruh oleja;AXIOMA;AX-FL-48B;18.12.2019;17.12.2021;11417;16;64;8.1;04.12.2024;Preventívna prehliadka;58;19/17/14;0;718,20;V prevádzke
HYT-2074;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Rozvod stlačeného vzduchu;FLUIDMAX;FL-AT-40F;03.06.2016;02.06.2020;16887;6;1012;9.2;10.05.2025;Preventívna prehliadka;;nemerané;0;226,84;V prevádzke
HYT-2075;Recykling SK s.r.o.;Ostatné;Košický;Generátor dusíka;AXIOMA;AX-AT-47F;03.11.2021;02.11.2024;5975;10;6;12.4;11.08.2026;Lisovanie hadíc na mieste;;20/18/15;0;1727,99;V prevádzke
HYT-2076;Pílová Orava s.r.o.;Drevospracujúci;Žilinský;Hydraulický agregát lisu;FLUIDMAX;FL-FL-50B;15.10.2015;14.10.2018;22824;160;124;67.1;11.12.2025;Havarijná oprava;68;22/20/17;2;1870,23;V prevádzke
HYT-2077;Lisovňa Nitra s.r.o.;Automotive;Nitriansky;Hydraulický zdvíhací stôl;HYDROMET;HY-PC-44D;25.11.2025;24.11.2028;2077;315;95;59.1;09.07.2026;Výmena filtračnej vložky;58;nemerané;0;0,00;V prevádzke
HYT-2078;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Čerpadlová jednotka;FLUIDMAX;FL-PP-85A;14.02.2024;13.02.2028;4019;315;26;56.4;21.12.2024;Preventívna prehliadka;63;16/14/11;1;1078,86;V prevádzke
HYT-2079;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Hydraulický agregát lisu;FLUIDMAX;FL-PP-63F;16.09.2022;15.09.2025;5016;210;34;30.5;21.06.2025;Výmena filtračnej vložky;47;16/14/11;0;301,45;V prevádzke
HYT-2080;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Hydraulický agregát píly;PNEUTECH;PN-NG-35G;08.05.2019;07.05.2022;9658;160;45;4.4;15.11.2025;Preventívna prehliadka;61;19/17/14;1;1299,36;V prevádzke
HYT-2081;TechnoMach Prievidza s.r.o.;Strojárstvo;Trenčiansky;Hydraulický agregát píly;PNEUTECH;PN-PC-67D;27.02.2015;26.02.2017;17078;250;70;61.8;30.06.2025;Preventívna prehliadka;74;17/15/12;3;2153,28;V prevádzke
HYT-2082;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Generátor dusíka;HYDROMET;HY-AT-22E;26.04.2022;25.04.2026;9344;8;6;24.2;23.07.2026;Výmena filtračnej vložky;;nemerané;1;1752,01;Na vyradenie
HYT-2083;Strojáreň Martin a.s.;Strojárstvo;Žilinský;Hydraulický agregát píly;FLUIDMAX;FL-GP-52A;07.07.2023;06.07.2025;7383;315;178;11.5;10.10.2025;Preventívna prehliadka;63;18/16/13;1;669,72;V prevádzke
HYT-2084;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Pneumatický ovládací panel;FLUIDMAX;FL-NG-43B;01.12.2022;30.11.2025;7240;7;721;12.8;14.06.2025;Výmena filtračnej vložky;;nemerané;0;1384,52;V prevádzke
HYT-2085;Recykling SK s.r.o.;Ostatné;Košický;Rozvod stlačeného vzduchu;FLUIDMAX;FL-GP-90B;22.10.2022;21.10.2026;8989;6;1549;19.1;01.04.2025;Výmena filtračnej vložky;;nemerané;0;330,89;V prevádzke
HYT-2086;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Filtračná stanica;FLUIDMAX;FL-FL-76E;18.07.2022;17.07.2026;5383;16;92;6.1;24.07.2026;Výmena filtračnej vložky;61;20/18/15;1;900,12;V prevádzke
HYT-2087;Papierne Sever a.s.;Ostatné;Žilinský;Chladič kvapalín;FLUIDMAX;FL-GP-92D;04.07.2019;03.07.2021;10372;10;334;5.3;25.03.2026;Havarijná oprava;58;18/16/13;0;0,00;V prevádzke
HYT-2088;Metalform Považie a.s.;Strojárstvo;Trenčiansky;Čerpadlová jednotka;PNEUTECH;PN-GP-37E;28.04.2017;28.04.2019;18787;210;49;52.9;05.10.2025;Havarijná oprava;73;21/19/16;3;2543,10;V prevádzke
HYT-2089;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Hydraulický zdvíhací stôl;FLUIDMAX;FL-AT-72A;14.09.2018;13.09.2020;10800;210;150;25.0;18.09.2025;Preventívna prehliadka;69;20/18/15;2;1797,34;V prevádzke
HYT-2090;Recykling SK s.r.o.;Ostatné;Košický;Pneumatický ovládací panel;FLUIDMAX;FL-FL-12G;04.06.2023;03.06.2025;7305;8;663;6.3;05.03.2025;Havarijná oprava;;nemerané;0;0,00;V prevádzke
HYT-2091;Bukoza Plus a.s.;Drevospracujúci;Košický;Generátor dusíka;FLUIDMAX;FL-PP-20C;10.10.2023;09.10.2026;3064;8;25;34.9;16.04.2026;Preventívna prehliadka;;nemerané;0;1294,03;Odstavené
HYT-2092;Hutné centrum Košice s.r.o.;Strojárstvo;Košický;Čerpadlová jednotka;AXIOMA;AX-GP-57G;31.07.2020;31.07.2022;14021;210;98;12.2;07.08.2025;Výmena filtračnej vložky;68;19/17/14;0;0,00;V prevádzke
HYT-2093;AutoDiel Trnava s.r.o.;Automotive;Trnavský;Hydraulický agregát píly;PNEUTECH;PN-CH-31C;09.04.2023;08.04.2025;4166;210;158;66.9;27.03.2025;Havarijná oprava;41;17/15/12;1;744,96;V prevádzke
HYT-2094;Pivovar Šariš Trade s.r.o.;Potravinárstvo;Prešovský;Chladič kvapalín;HYDROMET;HY-NG-61D;08.10.2019;07.10.2021;9321;10;280;14.3;19.12.2024;Havarijná oprava;81;20/18/15;2;2296,08;V prevádzke
HYT-2095;Tatrawood s.r.o.;Drevospracujúci;Prešovský;Filtračná stanica;PNEUTECH;PN-NG-96E;24.09.2015;23.09.2017;14112;10;280;5.7;16.06.2025;Havarijná oprava;75;20/18/15;2;1487,35;Na vyradenie
HYT-2096;KOVO Press Slovakia a.s.;Automotive;Trenčiansky;Rozvod stlačeného vzduchu;AXIOMA;AX-GP-63D;06.05.2015;05.05.2018;12384;10;776;6.7;09.08.2026;Havarijná oprava;;nemerané;2;2090,30;V prevádzke
HYT-2097;Papierne Sever a.s.;Ostatné;Žilinský;Hydraulický agregát lisu;AXIOMA;AX-GP-33A;26.06.2017;25.06.2021;17673;280;115;9.7;09.08.2026;Výmena filtračnej vložky;55;21/19/16;2;1661,40;V prevádzke
HYT-2098;Teplárne Stred a.s.;Energetika;Banskobystrický;Chladič kvapalín;PNEUTECH;PN-GP-31G;04.01.2017;03.01.2021;14264;16;375;23.9;30.04.2025;Havarijná oprava;58;17/15/12;0;638,81;V prevádzke
HYT-2099;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Pneumatický ovládací panel;FLUIDMAX;FL-PC-44B;29.03.2024;29.03.2027;6346;7;1465;12.2;30.04.2026;Preventívna prehliadka;;20/18/15;1;189,03;V prevádzke
HYT-2100;Pílová Orava s.r.o.;Drevospracujúci;Žilinský;Pneumatický ovládací panel;HYDROMET;HY-PC-37G;29.01.2020;28.01.2023;16606;10;755;5.8;26.05.2025;Havarijná oprava;;nemerané;3;2488,06;V prevádzke
HYT-2101;PotravinaSK a.s.;Potravinárstvo;Nitriansky;Filtračná stanica;FLUIDMAX;FL-NG-85B;13.05.2017;12.05.2020;10573;16;168;1.5;11.07.2026;Havarijná oprava;72;21/19/16;3;2019,68;V prevádzke
HYT-2102;KOVO Press Slovakia a.s.;Automotive;Trenčiansky;Pneumatický ovládací panel;PNEUTECH;PN-FL-57B;08.04.2021;07.04.2025;6689;6;552;19.5;06.11.2024;Preventívna prehliadka;;16/14/11;0;451,69;V prevádzke
HYT-2103;Bioplyn Juh s.r.o.;Energetika;Nitriansky;Čerpadlová jednotka;FLUIDMAX;FL-AT-43C;10.08.2019;09.08.2021;10511;250;151;44.4;24.10.2025;Preventívna prehliadka;52;17/15/12;0;450,98;V prevádzke
HYT-2104;Drevona Industry, a.s.;Drevospracujúci;Žilinský;Hydraulický agregát píly;FLUIDMAX;FL-NG-90C;18.10.2017;17.10.2021;22526;250;130;6.3;06.12.2025;Preventívna prehliadka;58;20/18/15;2;2116,85;V prevádzke
HYT-2105;Plastika Nitra s.r.o.;Ostatné;Nitriansky;Chladič kvapalín;FLUIDMAX;FL-PP-87C;30.10.2019;29.10.2023;7605;6;117;11.7;25.08.2026;Diagnostika a meranie;70;22/20/17;1;1465,64;V prevádzke
